Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,1219.500000,1219.500000,1206.125000,1208.199951,1062.938354,712262
2016-01-04,1205.074951,1207.000000,1183.025024,1184.800049,1042.351440,1870184
2016-01-05,1192.500000,1193.300049,1170.500000,1174.474976,1033.268066,2678020
2016-01-06,1175.099976,1193.074951,1175.099976,1190.800049,1047.630249,2653228
2016-01-07,1185.000000,1191.449951,1180.000000,1185.625000,1043.077148,3199580
2016-01-08,1192.500000,1203.675049,1186.250000,1198.800049,1054.667969,1907544
2016-01-11,1191.250000,1192.000000,1174.425049,1181.175049,1039.162354,2930228
2016-01-12,1181.349976,1182.500000,1150.800049,1163.525024,1023.634399,3482594
2016-01-13,1158.500000,1163.500000,1127.550049,1139.599976,1002.585938,4746092
2016-01-14,1136.500000,1149.449951,1125.000000,1139.400024,1002.409912,2742052
2016-01-15,1144.425049,1145.849976,1127.500000,1130.550049,994.624268,3269408
2016-01-18,1131.000000,1145.949951,1130.000000,1138.824951,1001.904053,2213922
2016-01-19,1138.500000,1150.000000,1134.150024,1139.650024,1002.630188,967910
2016-01-20,1136.900024,1142.500000,1121.500000,1140.050049,1002.981934,1615954
2016-01-21,1142.500000,1144.949951,1122.875000,1127.250000,994.118835,2675536
2016-01-22,1136.500000,1151.025024,1130.000000,1147.875000,1012.307983,1343178
2016-01-25,1150.949951,1169.500000,1145.750000,1152.324951,1016.232117,1397560
2016-01-27,1151.000000,1164.974976,1140.949951,1159.875000,1022.890808,1626986
2016-01-28,1157.750000,1174.449951,1154.025024,1165.599976,1027.939697,3106660
2016-01-29,1179.349976,1200.000000,1167.525024,1195.650024,1054.440552,2235744
2016-02-01,1195.550049,1206.474976,1179.500000,1201.349976,1059.467163,1495274
2016-02-02,1204.500000,1216.500000,1189.849976,1199.050049,1057.439209,1475588
2016-02-03,1193.750000,1214.949951,1180.150024,1208.150024,1065.464233,1308692
2016-02-04,1210.949951,1220.000000,1201.000000,1210.025024,1067.117798,1250046
2016-02-05,1204.050049,1219.974976,1204.050049,1210.974976,1067.955444,1402996
2016-02-08,1200.000000,1206.025024,1173.500000,1181.474976,1041.939575,1063658
2016-02-09,1166.800049,1166.800049,1127.800049,1140.699951,1005.980042,2489610
2016-02-10,1137.500000,1144.949951,1129.050049,1134.400024,1000.424072,1890732
2016-02-11,1140.000000,1144.500000,1085.824951,1098.974976,969.183105,1962408
2016-02-12,1100.000000,1121.699951,1082.000000,1113.300049,981.816284,2172568
2016-02-15,1125.000000,1153.425049,1120.000000,1134.574951,1000.578552,2479712
2016-02-16,1133.000000,1141.000000,1121.500000,1132.775024,998.991516,1588702
2016-02-17,1132.500000,1139.824951,1123.199951,1137.775024,1003.400696,1585178
2016-02-18,1142.500000,1159.875000,1139.000000,1157.925049,1021.171021,1529140
2016-02-19,1153.675049,1163.500000,1152.724976,1159.824951,1022.846375,879012
2016-02-22,1160.125000,1171.500000,1152.500000,1157.949951,1021.192871,1324884
2016-02-23,1155.125000,1159.949951,1128.375000,1132.000000,998.307922,1306852
2016-02-24,1131.224976,1131.224976,1100.599976,1105.474976,974.915222,1659328
2016-02-25,1109.900024,1114.000000,1092.824951,1106.425049,975.753235,1830556
2016-02-26,1114.849976,1128.449951,1099.800049,1105.250000,974.717102,1537536
2016-02-29,1118.500000,1118.500000,1057.500000,1088.400024,959.857117,2191718
2016-03-01,1096.500000,1142.550049,1081.000000,1138.324951,1003.885803,1999760
2016-03-02,1152.500000,1165.000000,1128.125000,1159.425049,1022.493713,1527486
2016-03-03,1168.000000,1195.500000,1150.500000,1186.574951,1046.437500,2648284
2016-03-04,1190.000000,1190.000000,1174.775024,1178.775024,1039.558716,1512966
2016-03-08,1171.050049,1183.500000,1152.099976,1177.150024,1038.125244,1268152
2016-03-09,1170.500000,1184.699951,1147.574951,1178.625000,1039.426270,2017784
2016-03-10,1178.025024,1179.925049,1157.474976,1174.150024,1035.479858,1661666
2016-03-11,1170.000000,1195.425049,1167.500000,1182.625000,1042.953857,1530528
2016-03-14,1181.000000,1199.000000,1170.000000,1177.500000,1038.434082,1636742
2016-03-15,1174.525024,1181.750000,1160.050049,1164.949951,1027.366455,1623356
2016-03-16,1157.500000,1166.000000,1153.449951,1163.525024,1026.109497,1918246
2016-03-17,1167.000000,1180.900024,1166.000000,1176.025024,1037.133423,2221088
2016-03-18,1180.000000,1215.000000,1180.000000,1212.925049,1069.675659,3204070
2016-03-21,1213.000000,1227.474976,1210.000000,1223.125000,1078.670410,2336982
2016-03-22,1221.000000,1242.500000,1218.250000,1236.550049,1090.510010,1951984
2016-03-23,1243.949951,1243.949951,1228.650024,1236.900024,1090.818726,2278434
2016-03-28,1245.500000,1258.574951,1230.775024,1236.699951,1090.642090,3320882
2016-03-29,1239.000000,1243.474976,1227.500000,1234.699951,1088.878418,1838796
2016-03-30,1235.449951,1252.500000,1230.000000,1244.750000,1097.741577,2136504
2016-03-31,1239.150024,1275.000000,1236.074951,1260.150024,1111.323120,4363964
2016-04-01,1252.500000,1260.425049,1217.050049,1226.949951,1082.043701,3041400
2016-04-04,1228.000000,1244.000000,1223.500000,1235.625000,1089.694580,1752352
2016-04-05,1235.400024,1242.449951,1221.025024,1231.375000,1085.946167,1491794
2016-04-06,1235.000000,1244.500000,1229.675049,1240.949951,1094.390503,1763150
2016-04-07,1240.000000,1242.349976,1228.500000,1235.400024,1089.495972,2390942
2016-04-08,1233.000000,1236.849976,1213.500000,1216.025024,1072.409180,1399500
2016-04-11,1216.500000,1258.500000,1206.500000,1253.324951,1105.303833,2400648
2016-04-12,1249.000000,1262.500000,1244.050049,1259.074951,1110.375122,1303628
2016-04-13,1265.000000,1272.500000,1256.250000,1263.099976,1113.924561,1601468
2016-04-18,1226.500000,1276.750000,1220.000000,1259.875000,1111.080078,7121504
2016-04-20,1267.449951,1267.449951,1220.000000,1225.175049,1080.478516,6405024
2016-04-21,1225.500000,1233.699951,1206.099976,1212.199951,1069.035767,2525724
2016-04-22,1209.500000,1217.699951,1202.099976,1208.525024,1065.794922,1964126
2016-04-25,1201.150024,1228.525024,1201.150024,1225.625000,1080.875122,2267654
2016-04-26,1224.500000,1246.750000,1221.000000,1244.900024,1097.873535,2554368
2016-04-27,1240.000000,1257.300049,1237.949951,1255.550049,1107.266235,1848670
2016-04-28,1250.650024,1270.000000,1249.050049,1263.875000,1114.608032,4992744
2016-04-29,1258.500000,1271.000000,1255.000000,1267.750000,1118.025391,2372178
2016-05-02,1264.500000,1265.000000,1250.000000,1263.349976,1114.144775,1116692
2016-05-03,1262.500000,1265.000000,1236.000000,1239.050049,1092.714966,2153118
2016-05-04,1236.949951,1247.025024,1228.500000,1239.000000,1092.670532,1364892
2016-05-05,1239.000000,1244.974976,1231.775024,1235.150024,1089.275635,1246566
2016-05-06,1232.500000,1242.150024,1215.500000,1236.699951,1090.642090,885598
2016-05-09,1236.699951,1259.000000,1228.199951,1256.275024,1107.906006,1821276
2016-05-10,1257.500000,1266.974976,1248.000000,1261.449951,1112.469116,1158534
2016-05-11,1250.000000,1262.800049,1245.000000,1259.150024,1110.440674,1598716
2016-05-12,1260.275024,1284.949951,1260.275024,1283.099976,1131.562134,1513082
2016-05-13,1282.500000,1283.000000,1255.074951,1261.699951,1112.689819,1621730
2016-05-16,1269.000000,1282.400024,1261.250000,1275.574951,1124.926025,1111526
2016-05-17,1282.099976,1295.625000,1276.000000,1285.099976,1133.326294,1756698
2016-05-18,1282.925049,1282.925049,1263.025024,1275.550049,1124.904175,1500740
2016-05-19,1277.500000,1280.000000,1263.050049,1278.474976,1127.483521,1038792
2016-05-20,1271.150024,1282.900024,1261.400024,1264.650024,1115.291626,1230918
2016-05-23,1272.000000,1272.949951,1240.099976,1245.724976,1098.601807,1533016
2016-05-24,1242.000000,1244.125000,1229.800049,1233.849976,1088.128662,1339158
2016-05-25,1240.500000,1266.474976,1240.500000,1263.224976,1114.034546,1548678
2016-05-26,1265.000000,1282.449951,1252.550049,1274.349976,1123.845703,1943248
2016-05-27,1276.574951,1289.925049,1275.300049,1286.324951,1134.406128,1104676
2016-05-30,1291.500000,1320.974976,1291.000000,1318.199951,1162.517212,1349464
2016-05-31,1320.000000,1323.500000,1281.000000,1284.699951,1132.973389,3722608
2016-06-01,1285.599976,1322.500000,1285.500000,1316.775024,1161.260376,1911942
2016-06-02,1300.000000,1327.150024,1300.000000,1325.074951,1168.579956,1408756
2016-06-03,1325.699951,1329.000000,1310.250000,1314.775024,1159.496704,1554922
2016-06-06,1310.250000,1319.500000,1301.599976,1306.250000,1163.929443,1322026
2016-06-07,1307.000000,1319.500000,1306.500000,1315.574951,1172.238525,1202194
2016-06-08,1308.625000,1314.275024,1302.750000,1306.550049,1164.196655,938266
2016-06-09,1311.199951,1311.199951,1277.599976,1288.625000,1148.224854,1562138
